GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MavenInClassExam,ie.gmit,EmployeeList,0,58,0,6,0,14,0,7,0,4
MavenInClassExam,ie.gmit,Employee,0,54,0,6,0,19,0,9,0,6
